extractor,scoring_method,param,config,top1_acc,top3_acc,top5_acc,mrr
dinov2_vits14,svm,0.2,svm_nu0.20,0.65,0.95,1.0,0.8042
dinov2_vits14,svm,0.05,svm_nu0.05,0.65,0.95,1.0,0.8017
dinov2_vits14,cosine,20.0,cosine_k20,0.6,1.0,1.0,0.8
dinov2_vits14,cosine,10.0,cosine_k10,0.6,1.0,1.0,0.8
resnet50,cosine,20.0,cosine_k20,0.65,0.9,1.0,0.7892
convnext_tiny,cosine,10.0,cosine_k10,0.65,0.95,1.0,0.7875
convnext_tiny,cosine,20.0,cosine_k20,0.65,0.95,1.0,0.7875
convnext_tiny,cosine,5.0,cosine_k5,0.65,0.95,1.0,0.7875
efficientnet_b0,svm,0.05,svm_nu0.05,0.65,0.9,1.0,0.775
efficientnet_b0,svm,0.1,svm_nu0.10,0.65,0.9,1.0,0.775
ultrasam,cosine,5.0,cosine_k5,0.65,0.9,1.0,0.775
resnet50,cosine,5.0,cosine_k5,0.6,0.95,1.0,0.7708
resnet50,cosine,10.0,cosine_k10,0.6,0.95,1.0,0.7708
convnext_tiny,svm,0.1,svm_nu0.10,0.6,1.0,1.0,0.7667
convnext_tiny,svm,0.2,svm_nu0.20,0.6,1.0,1.0,0.7667
efficientnet_b0,svm,0.2,svm_nu0.20,0.6,0.95,1.0,0.7625
convnext_tiny,svm,0.05,svm_nu0.05,0.6,0.95,1.0,0.7625
efficientnet_b0,cosine,20.0,cosine_k20,0.6,0.85,1.0,0.76
efficientnet_b0,cosine,5.0,cosine_k5,0.6,0.85,1.0,0.76
efficientnet_b0,cosine,10.0,cosine_k10,0.6,0.85,1.0,0.76
resnet50,svm,0.01,svm_nu0.01,0.6,0.85,0.95,0.7537
dinov2_vits14,svm,0.01,svm_nu0.01,0.6,0.9,0.95,0.7521
dinov2_vits14,svm,0.1,svm_nu0.10,0.55,0.95,1.0,0.7517
dinov2_vits14,cosine,5.0,cosine_k5,0.5,1.0,1.0,0.75
convnext_tiny,svm,0.01,svm_nu0.01,0.6,0.95,1.0,0.7458
resnet50,svm,0.2,svm_nu0.20,0.55,0.9,0.95,0.7421
ultrasam,cosine,10.0,cosine_k10,0.6,0.9,1.0,0.7417
resnet50,svm,0.05,svm_nu0.05,0.55,0.85,0.95,0.7288
resnet50,svm,0.1,svm_nu0.10,0.55,0.85,0.95,0.7288
densenet121,cosine,20.0,cosine_k20,0.55,0.9,0.95,0.7267
efficientnet_b0,svm,0.01,svm_nu0.01,0.55,0.9,1.0,0.725
ultrasam,cosine,20.0,cosine_k20,0.55,0.9,1.0,0.7167
densenet121,cosine,5.0,cosine_k5,0.5,0.9,0.95,0.6933
densenet121,cosine,10.0,cosine_k10,0.45,0.9,0.95,0.6683
densenet121,svm,0.2,svm_nu0.20,0.4,0.95,1.0,0.66
densenet121,svm,0.1,svm_nu0.10,0.45,0.9,1.0,0.6475
densenet121,svm,0.05,svm_nu0.05,0.45,0.8,1.0,0.6392
densenet121,svm,0.01,svm_nu0.01,0.45,0.8,1.0,0.6392
ultrasam,svm,0.01,svm_nu0.01,0.4,0.75,1.0,0.6125
ultrasam,svm,0.2,svm_nu0.20,0.4,0.75,1.0,0.6125
ultrasam,svm,0.05,svm_nu0.05,0.4,0.75,1.0,0.61
ultrasam,svm,0.1,svm_nu0.10,0.4,0.75,1.0,0.61
